category,total,age18_29,age30_49,age50_64,age65,lesshighSchool,highSchool,college,income3,income5,income75,incomeover75,urban,suburban,rural,white,black,hispanic,men,women
All Mobile Phones,0.97,0.99,0.99,0.95,0.91,0.92,0.96,0.96,0.95,0.96,0.98,1,0.97,0.96,0.95,0.96,0.98,0.96,0.98,0.95
Smartphones,0.85,0.96,0.92,0.79,0.53,0.66,0.72,0.85,0.71,0.78,0.9,0.95,0.83,0.83,0.71,0.82,0.8,0.79,0.84,0.79
Cellphones,0.12,0.04,0.06,0.17,0.39,0.25,0.24,0.11,0.23,0.18,0.08,0.05,0.13,0.13,0.24,0.14,0.17,0.17,0.14,0.16
